Group 01: start=70446, goal=33087, length=387, cost=495135.0
Group 02: start=29650, goal=48017, length=331, cost=449967.0
Group 03: start=124762, goal=68380, length=105, cost=135936.0
Group 04: start=123758, goal=159016, length=704, cost=769417.0
Group 05: start=133927, goal=187976, length=90, cost=104306.0
Group 06: start=42242, goal=254298, length=554, cost=595709.0
Group 07: start=169782, goal=79089, length=683, cost=760437.0
Group 08: start=118860, goal=194203, length=83, cost=141029.0
Group 09: start=242750, goal=195723, length=341, cost=485629.0
Group 10: start=17084, goal=224862, length=439, cost=524163.0
Group 11: start=237178, goal=244135, length=138, cost=138694.0
Group 12: start=248812, goal=141031, length=217, cost=268095.0
Group 13: start=135796, goal=152441, length=242, cost=319405.0
Group 14: start=56009, goal=129466, length=211, cost=252881.0
Group 15: start=109566, goal=6111, length=483, cost=836387.0
Group 16: start=189543, goal=246008, length=132, cost=191998.0
Group 17: start=217144, goal=159082, length=469, cost=530026.0
Group 18: start=95035, goal=64391, length=435, cost=602300.0
Group 19: start=22678, goal=63276, length=541, cost=577738.0
Group 20: start=79276, goal=136225, length=800, cost=930012.0
Group 21: start=86482, goal=219150, length=337, cost=437077.0
Group 22: start=73594, goal=127202, length=236, cost=357923.0
Group 23: start=152000, goal=43805, length=365, cost=421019.0
Group 24: start=200730, goal=95731, length=547, cost=643615.0
Group 25: start=197637, goal=8042, length=321, cost=377238.0
Group 26: start=106301, goal=107563, length=104, cost=155696.0
Group 27: start=251597, goal=145343, length=304, cost=346756.0
Group 28: start=59223, goal=68605, length=128, cost=156722.0
Group 29: start=39907, goal=181316, length=432, cost=440764.0
Group 30: start=151623, goal=15748, length=307, cost=414413.0
Group 31: start=6438, goal=246195, length=275, cost=330657.0
Group 32: start=40592, goal=111997, length=121, cost=192432.0
Group 33: start=87690, goal=122274, length=331, cost=406841.0
Group 34: start=187209, goal=14509, length=215, cost=241116.0
Group 35: start=175831, goal=69063, length=826, cost=766277.0
Group 36: start=172334, goal=30603, length=704, cost=793077.0
Group 37: start=48027, goal=18582, length=211, cost=243954.0
Group 38: start=220792, goal=224931, length=71, cost=75226.0
Group 39: start=110023, goal=136139, length=308, cost=320313.0
Group 40: start=240442, goal=16697, length=234, cost=317092.0
Group 41: start=199765, goal=174182, length=217, cost=208352.0
Group 42: start=58370, goal=13113, length=455, cost=638018.0
Group 43: start=20213, goal=149991, length=397, cost=409561.0
Group 44: start=214191, goal=61162, length=778, cost=742160.0
Group 45: start=142542, goal=218991, length=190, cost=258472.0
Group 46: start=40047, goal=209713, length=337, cost=390184.0
Group 47: start=184469, goal=32782, length=449, cost=555727.0
Group 48: start=165389, goal=69150, length=667, cost=760140.0
Group 49: start=35067, goal=180529, length=507, cost=610228.0
Group 50: start=260853, goal=139552, length=317, cost=600405.0
Group 51: start=127674, goal=263303, length=660, cost=907716.0
Group 52: start=140676, goal=28586, length=166, cost=201154.0
Group 53: start=113275, goal=239331, length=348, cost=489854.0
Group 54: start=72079, goal=230130, length=663, cost=728236.0
Group 55: start=47365, goal=102890, length=247, cost=370335.0
Group 56: start=6028, goal=248341, length=128, cost=292803.0
Group 57: start=22317, goal=192809, length=312, cost=583563.0
Group 58: start=103368, goal=107859, length=30, cost=46553.0
Group 59: start=117538, goal=44360, length=287, cost=412682.0
Group 60: start=161380, goal=148595, length=217, cost=231879.0
Group 61: start=259254, goal=95266, length=654, cost=959797.0
Group 62: start=90716, goal=34160, length=560, cost=779789.0
Group 63: start=233382, goal=232905, length=45, cost=78120.0
Group 64: start=249645, goal=65458, length=547, cost=820766.0
Group 65: start=217446, goal=151438, length=218, cost=213178.0
Group 66: start=37125, goal=163571, length=522, cost=495725.0
Group 67: start=39214, goal=60867, length=385, cost=474189.0
Group 68: start=244511, goal=262554, length=81, cost=298107.0
Group 69: start=19559, goal=50247, length=235, cost=278984.0
Group 70: start=62094, goal=154183, length=721, cost=818779.0
Group 71: start=169740, goal=4446, length=405, cost=589644.0
Group 72: start=38497, goal=97658, length=160, cost=277155.0
Group 73: start=146704, goal=64074, length=483, cost=512936.0
Group 74: start=59565, goal=167391, length=640, cost=737049.0
Group 75: start=236373, goal=228915, length=311, cost=509111.0
Group 76: start=194279, goal=242881, length=382, cost=777876.0
Group 77: start=132503, goal=170869, length=707, cost=735489.0
Group 78: start=98388, goal=50344, length=108, cost=174833.0
Group 79: start=76199, goal=229378, length=696, cost=877747.0
Group 80: start=142340, goal=206539, length=158, cost=153048.0
Group 81: start=237652, goal=177256, length=538, cost=753557.0
Group 82: start=75876, goal=256848, length=883, cost=934336.0
Group 83: start=260129, goal=241131, length=136, cost=173541.0
Group 84: start=148682, goal=19572, length=400, cost=435935.0
Group 85: start=104642, goal=56157, length=146, cost=210592.0
Group 86: start=16271, goal=166451, length=411, cost=503878.0
Group 87: start=76523, goal=99183, length=220, cost=346773.0
Group 88: start=208399, goal=99359, length=513, cost=616264.0
Group 89: start=42515, goal=135685, length=371, cost=411193.0
Group 90: start=106782, goal=48599, length=325, cost=380977.0
Group 91: start=43789, goal=90374, length=488, cost=608115.0
Group 92: start=220749, goal=139431, length=651, cost=588818.0
Group 93: start=259182, goal=185229, length=434, cost=733036.0
Group 94: start=95713, goal=65075, length=445, cost=564081.0
Group 95: start=67279, goal=258985, length=698, cost=1001254.0
Group 96: start=194299, goal=164974, length=798, cost=1063821.0
Group 97: start=101994, goal=224901, length=338, cost=469112.0
Group 98: start=186856, goal=22587, length=286, cost=266808.0
Group 99: start=211801, goal=199625, length=151, cost=155167.0
